Column,Linear regression (p),,sqrt(correlation_coefficient^2),,
T2_NP_SIGMA,-0.2749384,410,0.27493842,99,
T2_NP_FECR_B2,-0.27711275,411,0.277112731,98,
dFECR_B2,-0.27722427,412,0.27722424,97,
T2_VPV_FECR_B2,-0.2772338,413,0.277233808,96,
T2_NbC_ACR_FE,-0.27950764,414,0.27950767,93,
T2_SIGMA_CX_FE,-0.2880289,415,0.288028918,91,
T2_NbC_ACR_CR,-0.29133144,416,0.291331463,88,
T2_FECR_CX_AL,-0.2927776,417,0.292777576,87,
T2_SIGMA_CX_AL,-0.29512617,418,0.295126195,85,
T2_FECR_CX_NI,-0.2970246,419,0.297024617,83,
T2_FECR_CX_FE,-0.29777485,420,0.297774825,81,
T2_M2B_CB_CX_MN,-0.30444783,421,0.304447863,79,
T2_NbC_ACR_CU,-0.30611733,422,0.306117325,77,
T2_FCC_ACR_CU,-0.30611733,423,0.306117325,78,
T2_NIAL_B2_X_NI,-0.30644792,424,0.306447912,76,
T2_FCC_X_FE,-0.31296146,425,0.312961562,73,
T2_NIAL_CX_NI,-0.31622267,426,0.316222649,71,
T2_NP_NIAL_B2,-0.31775925,427,0.317759222,70,
T2_NIAL_CX_AL,-0.3177857,428,0.317785695,69,
T2_NIAL_B2_X_AL,-0.31821465,429,0.318214651,68,
T2_VPV_NIAL_B2,-0.32255018,430,0.322550177,67,
dNIAL_B2,-0.32256022,431,0.322560215,66,
T2_M2B_CB_X_MN,-0.3243015,432,0.324301558,65,
T2_SIGMA_CX_V,-0.32649803,433,0.326498052,63,
T2_SIGMA_CX_NB,-0.36091185,434,0.360911867,55,
T2_SIGMA_CX_MN,-0.3704897,435,0.370489729,51,
T2_NIAL_ACR_B2_FE,-0.38454846,436,0.384548416,47,
T2_SIGMA_X_NI,-0.38523743,437,0.385237382,46,
T2_SIGMA_X_NB,-0.39479318,438,0.394793234,42,
T2_NIAL_ACR_B2_CR,-0.41921878,439,0.419218799,37,
T2_SIGMA_CX_W,-0.41953182,440,0.419531898,36,
T2_FCC_ACR_FE,-0.42849392,441,0.428493971,35,
T2_SIGMA_CX_MO,-0.42991522,442,0.429915263,34,
T2_SIGMA_X_SI,-0.43019098,443,0.430190955,33,
dM2B_CB,-0.4339709,444,0.433970958,32,
T2_M2B_CB_CX_FE,-0.43870357,445,0.438703579,31,
T2_SIGMA_X_MN,-0.4499959,446,0.449995953,29,
T2_NP_M2B_CB,-0.4561891,447,0.456189085,26,
T2_M2B_CB_CX_B,-0.45620227,448,0.456202297,25,
T2_M2B_CB_CX_CR,-0.45635042,449,0.456350461,24,15
T2_VPV_M2B_CB,-0.4564027,450,0.456402697,23,14
T2_SIGMA_X_MO,-0.4623069,451,0.46230692,21,13
T2_SIGMA_X_AL,-0.46454972,452,0.46454979,20,12
T2_M2B_CB_X_FE,-0.48634905,453,0.486349043,17,11
